"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6MHKQIBP","journalArticle","2016","Hypki, Arkadiusz","BEANS - a software package for distributed Big Data analysis","arXiv:1603.07342 [astro-ph]","","","","http://arxiv.org/abs/1603.07342","BEANS software is a web based, easy to install and maintain, new tool to store and analyse data in a distributed way for a massive amount of data. It provides a clear interface for querying, filtering, aggregating, and plotting data from an arbitrary number of datasets. Its main purpose is to simplify the process of storing, examining and finding new relations in the so-called Big Data. Creation of BEANS software is an answer to the growing needs of the astronomical community to have a versatile tool to store, analyse and compare the complex astrophysical numerical simulations with observations (e.g. simulations of the Galaxy or star clusters with the Gaia archive). However, this software was built in a general form and it is ready to use in any other research field or open source software.","2016-03-23","2016-03-25 13:45:19","2016-11-11 12:56:54","2016-03-25 13:45:19","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Hypki - 2016 - BEANS - a software package for distributed Big Data analysis.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Mathematical Software","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5VFTVWV","journalArticle","2016","Zinzi, Angelo; Capria, Maria Teresa; Palomba, Ernesto; Giommi, Paolo; Antonelli, Lucio Angelo","MATISSE: A novel tool to access, visualize and analyse data from planetary exploration missions","Astronomy and Computing","","22131337","10.1016/j.ascom.2016.02.006","http://arxiv.org/abs/1603.05413","The increasing number and complexity of planetary exploration space missions require new tools to access, visualize and analyse data to improve their scientific return. ASI Science Data Center (ASDC) addresses this request with the web-tool MATISSE (Multi-purpose Advanced Tool for the Instruments of the Solar System Exploration), allowing the visualization of single observation or real-time computed high-order products, directly projected on the three-dimensional model of the selected target body. Using MATISSE it will be no longer needed to download huge quantity of data or to write down a specific code for every instrument analysed, greatly encouraging studies based on joint analysis of different datasets. In addition the extremely high-resolution output, to be used offline with a Python-based free software, together with the files to be read with specific GIS software, makes it a valuable tool to further process the data at the best spatial accuracy available. MATISSE modular structure permits addition of new missions or tasks and, thanks to dedicated future developments, it would be possible to make it compliant to the Planetary Virtual Observatory standards currently under definition. In this context the recent development of an interface to the NASA ODE REST API by which it is possible to access to public repositories is set.","2016-04","2016-03-18 14:25:04","2016-11-11 12:56:52","2016-03-18 14:25:04","16-28","","","15","","","MATISSE","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Zinzi et al. - 2016 - MATISSE.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Earth and Planetary Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9EP8G3B","journalArticle","2016","Kurcz, Agnieszka; Bilicki, Maciej; Solarz, Aleksandra; Krupa, Magdalena; Pollo, Agnieszka; Małek, Katarzyna","Towards automatic classification of all WISE sources","arXiv:1604.04229 [astro-ph]","","","","http://arxiv.org/abs/1604.04229","The WISE satellite has detected hundreds of millions sources over the entire sky. Classifying them reliably is however a challenging task due to degeneracies in WISE multicolour space and low levels of detection in its two longest-wavelength bandpasses. Here we aim at obtaining comprehensive and reliable star, galaxy and quasar catalogues based on automatic source classification in full-sky WISE data. This means that the final classification will employ only parameters available from WISE itself, in particular those reliably measured for a majority of sources. For the automatic classification we applied the support vector machines (SVM) algorithm, which requires a training sample with relevant classes already identified, and we chose to use the SDSS spectroscopic dataset for that purpose. By calibrating the classifier on the test data drawn from SDSS, we first established that a polynomial kernel is preferred over a radial one for this particular dataset. Next, using three classification parameters (W1 magnitude, W1-W2 colour, and a differential aperture magnitude) we obtained very good classification efficiency in all the tests. At the bright end, the completeness for stars and galaxies reaches ~95%, deteriorating to ~80% at W1=16 mag, while for quasars it stays at a level of ~95% independently of magnitude. Similar numbers are obtained for purity. Application of the classifier to full-sky WISE data, flux-limited to 16 mag (Vega) in the 3.4 $\mu$m channel, and appropriate a posteriori cleaning allowed us to obtain reliably-looking catalogues of star and galaxy candidates. However, the sources flagged by the classifier as `quasars' are in fact dominated by dusty galaxies but also exhibit contamination from sources located mainly at low ecliptic latitudes, consistent with Solar System objects.","2016-04-14","2016-04-15 12:47:45","2016-11-11 12:56:49","2016-04-15 12:47:45","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Kurcz et al. - 2016 - Towards automatic classification of all WISE sources.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFXB6KU2","journalArticle","2016","Winkel, B.; Lenz, D.; Flöer, L.","Cygrid: A fast Cython-powered convolution-based gridding module for Python","arXiv:1604.06667 [astro-ph]","","","","http://arxiv.org/abs/1604.06667","Data gridding is a common task in astronomy and many other science disciplines. It refers to the resampling of irregularly sampled data to a regular grid. We present cygrid, a library module for the general purpose programming language Python. Cygrid can be used to resample data to any collection of target coordinates, although its typical application involves FITS maps or data cubes. The FITS world coordinate system standard is supported. The regridding algorithm is based on the convolution of the original samples with a kernel of arbitrary shape. We introduce a lookup table scheme that allows us to parallelize the gridding and combine it with the HEALPix tessellation of the sphere for fast neighbor searches. We show that for $n$ input data points, cygrids runtime scales between O(n) and O(n log n) and analyze the performance gain that is achieved using multiple CPU cores. We also compare the gridding speed with other techniques, such as nearest-neighbor, and linear and cubic spline interpolation. Cygrid is a very fast and versatile gridding library that significantly outperforms other third-party Python modules, such as the linear and cubic spline interpolation provided by SciPy.","2016-04-22","2016-04-25 12:44:06","2016-11-11 12:56:48","2016-04-25 12:44:06","","","","","","","Cygrid","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Winkel et al. - 2016 - Cygrid.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQ4H3253","journalArticle","2016","Chiu, I.-Non; Desai, Shantanu; Liu, Jiayi","ComEst: a Completeness Estimator of Source Extraction on Astronomical Imaging","arXiv:1605.02650 [astro-ph]","","","","http://arxiv.org/abs/1605.02650","The completeness of source detection is critical for analyzing the photometric and spatial properties of the population of interest observed by astronomical imaging. We present a software package $\mathtt{ComEst}$, which calculates the completeness of source detection on charge-coupled device (CCD) images of astronomical observations, especially for the optical and near-infrared (NIR) imaging of galaxies and point sources. The completeness estimator $\mathtt{ComEst}$ is designed for the source finder $\mathtt{SExtractor}$ used on the CCD images saved in the Flexible Image Transport System (FITS) format. Specifically, $\mathtt{ComEst}$ estimates the completeness of the source detection by deriving the detection rate of synthetic point sources and galaxies simulated on the observed CCD images. In order to capture any observational artifacts or noise properties while deriving the completeness, $\mathtt{ComEst}$ directly carries out the detection of simulated sources on the observed images. Given an observed CCD image saved in FITS format, $\mathtt{ComEst}$ derives the completeness of the source detection from end to end as a function of source flux (or magnitude) and CCD position. In addition, $\mathtt{ComEst}$ can also estimate the purity of the source detection by comparing the catalog of the detected sources to the input catalogs of the simulated sources. We run ComEst on the images from Blanco Cosmology Survey (BCS) and compare the derived completeness as a function of magnitude to the limiting magnitudes derived by using the Signal-to-Noise ratio (SNR) and number count histogram of the detected sources. $\mathtt{ComEst}$ is released as a Python package with an easy-to-use syntax and is publicly available at https://github.com/inonchiu/ComEst","2016-05-09","2016-05-10 12:15:20","2016-11-11 12:56:46","2016-05-10 12:15:20","","","","","","","$\mathtt{ComEst}$","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Chiu et al. - 2016 - ComEst.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKMFMHEH","journalArticle","2016","Ford, Jes; VanderPlas, Jake","Cluster-lensing: A Python Package for Galaxy Clusters & Miscentering","arXiv:1605.05700 [astro-ph]","","","","http://arxiv.org/abs/1605.05700","We describe a new open source package for calculating properties of galaxy clusters, including NFW halo profiles with and without the effects of cluster miscentering. This pure-Python package, cluster-lensing, provides well-documented and easy-to-use classes and functions for calculating cluster scaling relations, including mass-richness and mass-concentration relations from the literature, as well as the surface mass density $\Sigma(R)$ and differential surface mass density $\Delta\Sigma(R)$ profiles, probed by weak lensing magnification and shear. Galaxy cluster miscentering is especially a concern for stacked weak lensing shear studies of galaxy clusters, where offsets between the assumed and the true underlying matter distribution can lead to a significant bias in the mass estimates if not accounted for. This software has been developed and released in a public GitHub repository, and is licensed under the permissive MIT license. The cluster-lensing package is archived on Zenodo (Ford 2016). Full documentation, source code, and installation instructions are available at http://jesford.github.io/cluster-lensing/.","2016-05-18","2016-05-20 13:22:19","2016-11-11 12:56:44","2016-05-20 13:22:19","","","","","","","Cluster-lensing","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Ford & VanderPlas - 2016 - Cluster-lensing.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Instrumentation and Methods for Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAZGKQBW","journalArticle","2016","Ferrand, Gilles; English, Jayanne; Irani, Pourang","3D visualization of astronomy data cubes using immersive displays","arXiv:1607.08874 [astro-ph]","","","","http://arxiv.org/abs/1607.08874","We report on an exploratory project aimed at performing immersive 3D visualization of astronomical data, starting with spectral-line radio data cubes from galaxies. This work is done as a collaboration between the Department of Physics and Astronomy and the Department of Computer Science at the University of Manitoba. We are building our prototype using the 3D engine Unity, because of its ease of use for integration with advanced displays such as a CAVE environment, a zSpace tabletop, or virtual reality headsets. We address general issues regarding 3D visualization, such as: load and convert astronomy data, perform volume rendering on the GPU, and produce physically meaningful visualizations using principles of visual literacy. We discuss some challenges to be met when designing a user interface that allows us to take advantage of this new way of exploring data. We hope to lay the foundations for an innovative framework useful for all astronomers who use spectral line data cubes, and encourage interested parties to join our efforts. This pilot project addresses the challenges presented by frontier astronomy experiments, such as the Square Kilometre Array and its precursors.","2016-07-29","2016-08-01 22:37:31","2016-11-11 12:56:40","2016-08-01 22:37:31","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Ferrand et al. - 2016 - 3D visualization of astronomy data cubes using immersive displays.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; Computer Science - Graphics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ9DFQHD","journalArticle","2016","Dries, M.; Trager, S. C.; Koopmans, L. V. E.","A hierarchical Bayesian approach for reconstructing the Initial Mass Function of Single Stellar Populations","Monthly Notices of the Royal Astronomical Society","","0035-8711, 1365-2966","10.1093/mnras/stw2049","http://arxiv.org/abs/1608.05194","Recent studies based on the integrated light of distant galaxies suggest that the initial mass function (IMF) might not be universal. Variations of the IMF with galaxy type and/or formation time may have important consequences for our understanding of galaxy evolution. We have developed a new stellar population synthesis (SPS) code specifically designed to reconstruct the IMF. We implement a novel approach combining regularization with hierarchical Bayesian inference. Within this approach we use a parametrized IMF prior to regulate a direct inference of the IMF. This direct inference gives more freedom to the IMF and allows the model to deviate from parametrized models when demanded by the data. We use Markov Chain Monte Carlo sampling techniques to reconstruct the best parameters for the IMF prior, the age, and the metallicity of a single stellar population. We present our code and apply our model to a number of mock single stellar populations with different ages, metallicities, and IMFs. When systematic uncertainties are not significant, we are able to reconstruct the input parameters that were used to create the mock populations. Our results show that if systematic uncertainties do play a role, this may introduce a bias on the results. Therefore, it is important to objectively compare different ingredients of SPS models. Through its Bayesian framework, our model is well-suited for this.","2016-08-17","2016-08-20 02:27:01","2016-11-11 12:56:38","2016-08-20 02:27:01","stw2049","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Dries et al. - 2016 - A hierarchical Bayesian approach for reconstructing the Initial Mass Function.pdf","","","Astrophysics - Astrophysics of Galaxies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W398FNR7","journalArticle","2016","Han, Bo; Zhang, Yanxia; Zhong, Shoubo; Zhao, Yongheng","Astronomical Data Fusion Tool Based on PostgreSQL","arXiv:1609.01079 [astro-ph]","","","","http://arxiv.org/abs/1609.01079","With the application of advanced astronomical technologies, equipments and methods all over the world, astronomy covers from radio, infrared, visible light, ultraviolet, X-ray and gamma ray band, and enters into the era of full wavelength astronomy. How to effectively integrate data from different ground- and space-based observation equipments, different observers, different bands, different observation time, requires the data fusion technology. In this paper we introduce the cross-match tool that is developed by the Python language and based on the PostgreSQL database and uses Q3C as the core index, facilitating the cross-match work of massive astronomical data. It provides four different cross-match functions, namely: I) cross-match of custom error range; II) cross-match of catalog error; III) cross-match based on the elliptic error range; IV) cross-match of the nearest algorithm. The cross-match result set provides good foundation for subsequent data mining and statistics based on multiwavelength data. The most advantage of this tool is a user-oriented tool applied locally by users. By means of this tool, users may easily create their own databases, manage their own data and cross-match databases according to their requirements. In addition, this tool is also able to transfer data from one database into another database. More importantly, the tool is easy to get started and used by astronomers without writing any code.","2016-09-05","2016-09-06 12:45:43","2016-11-11 12:56:36","2016-09-06 12:45:43","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Han et al. - 2016 - Astronomical Data Fusion Tool Based on PostgreSQL.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQMA4Q33","journalArticle","2016","Boucaud, Alexandre; Bocchio, Marco; Abergel, Alain; Orieux, François; Dole, Hervé; Hadj-Youcef, Mohamed Amine","Convolution kernels for multi-wavelength imaging","arXiv:1609.02006 [astro-ph]","","","","http://arxiv.org/abs/1609.02006","Astrophysical images issued from different instruments and/or spectral bands often require to be processed together, either for fitting or comparison purposes. However each image is affected by an instrumental response, also known as PSF, that depends on the characteristics of the instrument as well as the wavelength and the observing strategy. Given the knowledge of the PSF in each band, a straightforward way of processing images is to homogenise them all to a target PSF using convolution kernels, so that they appear as if they had been acquired by the same instrument. We propose an algorithm that generates such PSF-matching kernels, based on Wiener filtering with a tunable regularisation parameter. This method ensures all anisotropic features in the PSFs to be taken into account. We compare our method to existing procedures using measured Herschel/PACS and SPIRE PSFs and simulated JWST/MIRI PSFs. Significant gains up to two orders of magnitude are obtained with respect to the use of kernels computed assuming Gaussian or circularised PSFs.","2016-09-07","2016-09-08 12:04:39","2016-11-11 12:56:34","2016-09-08 12:04:39","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Boucaud et al. - 2016 - Convolution kernels for multi-wavelength imaging.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB6V6TQE","journalArticle","2016","Martí, Belén López; Merín, Bruno; Giordano, Fabrizio; Baines, Deborah; Racero, Elena; Salgado, Jesús; Sarmiento, María Henar; Gutiérrez, Raúl; de Teodoro, Pilar; González, Juan; Segovia, Juan Carlos; Nieto, Sara; Norman, Henrik; Arviset, Christophe","ESASky: The whole of space Astronomy at your fingertips","arXiv:1610.09826 [astro-ph]","","","","http://arxiv.org/abs/1610.09826","ESASky is a new science-driven discovery portal for all ESA astronomical missions that gives users worldwide a simplified access to high-level science-ready products from ESA and other data providers. The tool features a sky exploration interface and a single/multiple target interface, and it requires no prior knowledge of specific details of each mission. Users can explore the sky in multiple wavelengths, quickly see the data available for their targets, and retrieve the relevant products, with just a few clicks. The first version of the tool, released in May 2016, provides access to imaging data and a number of catalogues. Future releases will enable retrieval of spectroscopic data and will incorporate futures to allow time-domain exploration and the study of Solar System objects.","2016-10-31","2016-11-01 17:34:27","2016-11-11 12:56:32","2016-11-01 17:34:27","","","","","","","ESASky","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Martí et al 2016 ESASky.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUVJMPGC","journalArticle","2016","Taylor, Rhys","Visualising three-dimensional volumetric data with an arbitrary coordinate system","arXiv:1611.02517 [astro-ph]","","","","http://arxiv.org/abs/1611.02517","Astronomical data does not always use Cartesian coordinates. Both all-sky observational data and simulations of rotationally symmetric systems, such as accretion and protoplanetary discs, may use spherical polar or other coordinate systems. Standard displays rely on Cartesian coordinates, but converting non-Cartesian data into Cartesian format causes distortion of the data and loss of detail. I here demonstrate a method using standard techniques from computer graphics that avoids these problems with 3D data in arbitrary coordinate systems. The method adds minimum computational cost to the display process and is suitable for both realtime, interactive content and producing fixed rendered images and videos. Proof-of-concept code is provided which works for data in spherical polar coordinates.","2016-11-08","2016-11-10 02:39:44","2016-11-11 12:56:29","2016-11-10 02:39:44","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Taylor 2016 Visualising three-dimensional volumetric data with an arbitrary coordinate.pdf","","","Astrophysics - Astrophysics of Galaxies; Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73FASDJF","journalArticle","2016","Regier, Jeffrey; Pamnany, Kiran; Giordano, Ryan; Thomas, Rollin; Schlegel, David; McAuliffe, Jon; Prabhat","Learning an Astronomical Catalog of the Visible Universe through Scalable Bayesian Inference","arXiv:1611.03404 [astro-ph, stat]","","","","http://arxiv.org/abs/1611.03404","Celeste is a procedure for inferring astronomical catalogs that attains state-of-the-art scientific results. To date, Celeste has been scaled to at most hundreds of megabytes of astronomical images: Bayesian posterior inference is notoriously demanding computationally. In this paper, we report on a scalable, parallel version of Celeste, suitable for learning catalogs from modern large-scale astronomical datasets. Our algorithmic innovations include a fast numerical optimization routine for Bayesian posterior inference and a statistically efficient scheme for decomposing astronomical optimization problems into subproblems. Our scalable implementation is written entirely in Julia, a new high-level dynamic programming language designed for scientific and numerical computing. We use Julia's high-level constructs for shared and distributed memory parallelism, and demonstrate effective load balancing and efficient scaling on up to 8192 Xeon cores on the NERSC Cori supercomputer.","2016-11-10","2016-11-11 12:56:06","2016-11-11 12:56:26","2016-11-11 12:56:06","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2016/Regier et al 2016 Learning an Astronomical Catalog of the Visible Universe through Scalable.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics; J.2; Statistics - Applications; Statistics - Machine Learning; Computer Science - Learning; 85A35 (Primary), 68W10, 62P35; Computer Science - Distributed, Parallel, and Cluster Computing; D.1.3; D.2; G.3; I.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AB4ZGIR7","journalArticle","2015","Kembhavi, Ajit K.; Mahabal, Ashish A.; Kale, Tejas; Jagade, Santosh; Vibhute, Ajay; Garg, Prerak; Vaghmare, Kaustubh; Navelkar, Sharmad; Agrawal, Tushar; Nandrekar, Deoyani; Shaikh, Mohasin","AstroStat - A VO Tool for Statistical Analysis","arXiv:1503.02989 [astro-ph]","","","","http://arxiv.org/abs/1503.02989","AstroStat is an easy-to-use tool for performing statistical analysis on data. It has been designed to be compatible with Virtual Observatory (VO) standards thus enabling it to become an integral part of the currently available collection of VO tools. A user can load data in a variety of formats into AstroStat and perform various statistical tests using a menu driven interface. Behind the scenes, all analysis is done using the public domain statistical software - R and the output returned is presented in a neatly formatted form to the user. The analyses performable include exploratory tests, visualizations, distribution fitting, correlation & causation, hypothesis testing, multivariate analysis and clustering. The tool is available in two versions with identical interface and features - as a web service that can be run using any standard browser and as an offline application. AstroStat will provide an easy-to-use interface which can allow for both fetching data and performing power statistical analysis on them.","2015-03-10","2015-03-20 19:44:36","2016-11-07 12:49:53","2015-03-20 19:44:36","","","","","","","","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Kembhavi et al. - 2015 - AstroStat - A VO Tool for Statistical Analysis.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C5357UZT","journalArticle","2003","Bruzual, G.; Charlot, S.","Stellar population synthesis at the resolution of 2003","Monthly Notices of the Royal Astronomical Society","","0035-8711, 1365-2966","10.1046/j.1365-8711.2003.06897.x","http://mnras.oxfordjournals.org/cgi/doi/10.1046/j.1365-8711.2003.06897.x","","2003-10","2016-10-12 17:42:45","2016-10-12 17:42:45","2016-10-12 17:42:45","1000-1028","","4","344","","","","","","","","","","en","","","","","CrossRef","","","","/home/gabriel/Dropbox/apps_sync/Zot/2003/Bruzual_Charlot_2003_Stellar population synthesis at the resolution of 2003.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HNUQ8NW2","journalArticle","2012","Weinberg, Martin D.","Computational statistics using the Bayesian Inference Engine","arXiv:1203.3816 [astro-ph]","","","","http://arxiv.org/abs/1203.3816","This paper introduces the Bayesian Inference Engine (BIE), a general parallel, optimised software package for parameter inference and model selection. This package is motivated by the analysis needs of modern astronomical surveys and the need to organise and reuse expensive derived data. The BIE is the first platform for computational statistics designed explicitly to enable Bayesian update and model comparison for astronomical problems. Bayesian update is based on the representation of high-dimensional posterior distributions using metric-ball-tree based kernel density estimation. Among its algorithmic offerings, the BIE emphasises hybrid tempered MCMC schemes that robustly sample multimodal posterior distributions in high-dimensional parameter spaces. Moreover, the BIE is implements a full persistence or serialisation system that stores the full byte-level image of the running inference and previously characterised posterior distributions for later use. Two new algorithms to compute the marginal likelihood from the posterior distribution, developed for and implemented in the BIE, enable model comparison for complex models and data sets. Finally, the BIE was designed to be a collaborative platform for applying Bayesian methodology to astronomy. It includes an extensible object-oriented and easily extended framework that implements every aspect of the Bayesian inference. By providing a variety of statistical algorithms for all phases of the inference problem, a scientist may explore a variety of approaches with a single model and data implementation. Additional technical details and download details are available from http://www.astro.umass.edu/bie. The BIE is distributed under the GNU GPL.","2012-03-16","2014-02-26 12:37:00","2016-10-05 14:18:35","2014-02-26 12:37:00","","","","","","","","","","","","","","","","","","","arXiv.org","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2012/Weinberg - 2012 - Computational statistics using the Bayesian Inference Engine.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8SQMXFU","journalArticle","2006","Taylor, M. B.","STILTS - A Package for Command-Line Processing of Tabular Data","Astronomical Data Analysis Software and Systems XV","","","","https://ui.adsabs.harvard.edu/#abs/2006ASPC..351..666T/abstract","A powerful, streamlined new way to search the Astrophysics Data System","2006-07","2016-09-28 15:17:15","2016-09-28 15:17:15","2016-09-28 15:17:15","","","","351","","","","","","","","","","","","","","","ui.adsabs.harvard.edu","","","","/home/gabriel/Dropbox/apps_sync/Zot/2006/Taylor - 2006 - STILTS - A Package for Command-Line Processing of Tabular Data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMBD2TPG","journalArticle","2015","Staley, Tim D.; Anderson, Gemma E.","Chimenea and other tools: Automated imaging of multi-epoch radio-synthesis data with CASA","arXiv:1505.08123 [astro-ph]","","","","http://arxiv.org/abs/1505.08123","In preparing the way for the Square Kilometre Array and its pathfinders, there is a pressing need to begin probing the transient sky in a fully robotic fashion using the current generation of radio telescopes. Effective exploitation of such surveys requires a largely automated data-reduction process. This paper introduces an end-to-end automated reduction pipeline, AMIsurvey, used for calibrating and imaging data from the Arcminute Microkelvin Imager Large Array. AMIsurvey makes use of several component libraries which have been packaged separately for open-source release. The most scientifically significant of these is chimenea, which implements a telescope-agnostic algorithm for automated imaging of pre-calibrated multi-epoch radio-synthesis data, of the sort typically acquired for transient surveys or follow-up. The algorithm aims to improve upon standard imaging pipelines by utilizing iterative RMS-estimation and automated source-detection to avoid so called `Clean-bias', and makes use of CASA subroutines for the underlying image-synthesis operations. At a lower level, AMIsurvey relies upon two libraries, drive-ami and drive-casa, built to allow use of mature radio-astronomy software packages from within Python scripts. While targeted at automated imaging, the drive-casa interface can also be used to automate interaction with any of the CASA subroutines from a generic Python process. Additionally, these packages may be of wider technical interest beyond radio-astronomy, since they demonstrate use of the Python library pexpect to emulate terminal interaction with an external process. This approach allows for rapid development of a Python interface to any legacy or externally-maintained pipeline which accepts command-line input, without requiring alterations to the original code.","2015-05-29","2015-09-16 23:03:05","2016-09-28 13:38:21","2015-09-16 23:03:05","","","","","","","Chimenea and other tools","","","","","","","","","","","","arXiv.org","","","","/home/gabriel/Dropbox/apps_sync/Zot/2015/Staley y Anderson - 2015 - Chimenea and other tools.pdf","","","Astrophysics - Instrumentation and Methods for Astrophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUR8T8CN","journalArticle","2017","Wei, Shoulin; Wang, Feng; Deng, Hui; Liu, Cuiyin; Dai, Wei; Liang, Bo; Mei, Ying; Shi, Congming; Liu, Yingbo; Wu, Jingping","OpenCluster: A Flexible Distributed Computing Framework for Astronomical Data Processing","Publications of the Astronomical Society of the Pacific","","0004-6280","10.1088/1538-3873/129/972/024001","http://adsabs.harvard.edu/abs/2017PASP..129b4001W","The volume of data generated by modern astronomical telescopes is  extremely large and rapidly growing. However, current high-performance data processing architectures/frameworks are not well suited for astronomers because of their limitations and programming difficulties. In this paper, we therefore present OpenCluster, an open-source distributed computing framework to support rapidly developing high-performance processing pipelines of astronomical big data. We first detail the OpenCluster design principles and implementations and present the APIs facilitated by the framework. We then demonstrate a case in which OpenCluster is used to resolve complex data processing problems for developing a pipeline for the Mingantu Ultrawide Spectral Radioheliograph. Finally, we present our OpenCluster performance evaluation. Overall, OpenCluster provides not only high fault tolerance and simple programming interfaces, but also a flexible means of scaling up the number of interacting entities. OpenCluster thereby provides an easily integrated distributed computing framework for quickly developing a high-performance data processing system of astronomical telescopes and for significantly reducing software development expenses.","2017-02-01","2017-01-19 13:35:02","2017-01-19 13:38:43","2017-01-19 13:35:02","024001","","","129","","Publications of the Astronomical Society of the Pacific","OpenCluster","","","","","","","","","","","","NASA ADS","","1","","/home/gabriel/Dropbox/apps_sync/Zot/2017/Wei et al. 2017 - OpenCluster.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
